PLAYER_NAME,OPPONENT,H2H_GAMES,H2H_AVG_PTS,H2H_MEDIAN_PTS,H2H_STD_PTS,H2H_FG_PCT,H2H_TS_PCT,H2H_TS_VS_OVERALL,H2H_FGA_VS_OVERALL,H2H_MIN_VS_OVERALL,H2H_AVG_FGA,H2H_AVG_MIN,L3_H2H_AVG_PTS,L5_H2H_AVG_PTS,H2H_PTS_TREND,H2H_CURRENT_SEASON_AVG_PTS,H2H_GAMES_CURRENT_SEASON,H2H_HOME_AVG_PTS,H2H_AWAY_AVG_PTS,H2H_CONFIDENCE,H2H_SCORING_PROFILE,DAYS_SINCE_LAST_H2H
A.J. Lawson,BKN,2,7.5,7.5,7.78,0.4,0.4596,-0.0898,2.04,4.43,7.5,19.0,7.5,7.5,0.0,7.5,0,7.5,7.5,0.3164,VOLUME,370
A.J. Lawson,BOS,4,3.25,1.5,4.72,0.3125,0.4062,-0.1431,-1.46,-7.42,4.0,7.15,4.33,3.25,1.08,4.33,3,10.0,1.0,0.4032,MINUTES,6
A.J. Lawson,CHA,2,8.0,8.0,8.49,0.5,0.5814,0.0321,0.54,3.93,6.0,18.5,8.0,8.0,0.0,8.0,0,8.0,8.0,0.3141,MINUTES,367
A.J. Lawson,CHI,1,13.0,13.0,0.0,0.8333,0.9448,0.3954,0.54,-1.57,6.0,13.0,13.0,13.0,0.0,13.0,0,13.0,13.0,0.46,EFFICIENCY,375
A.J. Lawson,DAL,1,12.0,12.0,0.0,0.3,0.4747,-0.0746,4.54,17.43,10.0,32.0,12.0,12.0,0.0,12.0,0,12.0,12.0,0.46,VOLUME,365
A.J. Lawson,DET,2,11.0,11.0,2.83,0.5,0.6892,0.1399,0.54,6.18,6.0,20.75,11.0,11.0,0.0,13.0,1,9.0,13.0,0.4382,MINUTES,11
A.J. Lawson,GSW,2,3.0,3.0,4.24,0.4,0.5102,-0.0391,-2.96,-4.07,2.5,10.5,3.0,3.0,0.0,6.0,1,3.0,3.0,0.2857,VOLUME,81
A.J. Lawson,IND,2,2.5,2.5,3.54,0.4,0.5,-0.0493,-2.96,-5.07,2.5,9.5,2.5,2.5,0.0,2.5,2,0.0,5.0,0.2857,VOLUME,62
A.J. Lawson,LAC,1,0.0,0.0,0.0,0.0,0.0,-0.5493,-3.46,-1.57,2.0,13.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.46,VOLUME,85
A.J. Lawson,LAL,1,5.0,5.0,0.0,0.3333,0.6443,0.095,-2.46,-8.57,3.0,6.0,5.0,5.0,0.0,5.0,1,5.0,5.0,0.46,VOLUME,83
A.J. Lawson,MEM,2,7.0,7.0,1.41,0.5556,0.6506,0.1012,-0.96,-5.77,4.5,8.8,7.0,7.0,0.0,8.0,1,7.0,7.0,0.4528,MINUTES,8
A.J. Lawson,MIA,2,0.0,0.0,0.0,0.0,0.0,-0.5493,-3.46,-11.62,2.0,2.95,0.0,0.0,0.0,0.0,2,0.0,0.0,0.52,VOLUME,2
A.J. Lawson,NOP,1,0.0,0.0,0.0,0.0,0.0,-0.5493,-5.46,-9.27,0.0,5.3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.46,VOLUME,15
A.J. Lawson,NYK,4,2.5,2.5,2.08,0.25,0.5123,-0.037,-3.46,-6.97,2.0,7.6,2.33,2.5,-0.17,2.33,3,1.0,4.0,0.4583,VOLUME,1
A.J. Lawson,ORL,4,7.25,7.5,7.27,0.6875,0.882,0.3327,-1.46,0.48,4.0,15.05,9.0,7.25,1.75,14.0,1,8.0,6.5,0.4397,EFFICIENCY,13
A.J. Lawson,PHI,4,11.0,8.0,12.91,0.4571,0.5777,0.0284,3.29,2.43,8.75,17.0,5.33,11.0,-5.67,8.0,2,14.67,0.0,0.424,VOLUME,89
A.J. Lawson,PHX,2,6.0,6.0,8.49,0.4444,0.6073,0.058,-0.96,-1.57,4.5,13.0,6.0,6.0,0.0,6.0,0,0.0,12.0,0.2857,EFFICIENCY,390
A.J. Lawson,POR,2,11.0,11.0,2.83,0.4545,0.4902,-0.0591,5.54,10.93,11.0,25.5,11.0,11.0,0.0,11.0,0,13.0,9.0,0.4382,VOLUME,373
A.J. Lawson,SAC,2,1.0,1.0,1.41,0.3333,0.3333,-0.216,-3.96,-5.07,1.5,9.5,1.0,1.0,0.0,1.0,2,2.0,0.0,0.2857,VOLUME,10
A.J. Lawson,SAS,1,14.0,14.0,0.0,0.4286,0.6944,0.1451,1.54,6.43,7.0,21.0,14.0,14.0,0.0,14.0,0,14.0,14.0,0.46,VOLUME,363
A.J. Lawson,UTA,2,12.0,12.0,8.49,0.3478,0.4525,-0.0968,6.04,10.93,11.5,25.5,12.0,12.0,0.0,12.0,0,6.0,18.0,0.3543,VOLUME,393
A.J. Lawson,WAS,4,12.25,7.5,13.43,0.35,0.516,-0.0333,4.54,9.18,10.0,23.75,14.0,12.25,1.75,2.0,1,19.5,5.0,0.4308,VOLUME,106
AJ Green,ATL,7,8.43,8.0,4.86,0.3684,0.5136,-0.1112,1.3,-0.69,8.14,25.29,11.33,8.8,2.9,11.33,3,7.33,9.25,0.6737,EFFICIENCY,28
AJ Green,BKN,6,14.83,11.5,11.44,0.5385,0.8144,0.1896,1.83,1.81,8.67,27.78,23.33,16.8,8.5,23.33,3,19.33,10.33,0.5858,VOLUME,1
AJ Green,BOS,6,6.5,4.5,5.82,0.4483,0.6724,0.0476,-2.01,-4.15,4.83,21.82,6.0,7.2,-0.5,6.0,3,9.0,4.0,0.571,VOLUME,8
AJ Green,CHA,7,7.43,8.0,4.28,0.4,0.5914,-0.0333,-1.13,0.74,5.71,26.71,10.0,8.2,2.57,8.25,4,11.33,4.5,0.6739,EFFICIENCY,99
AJ Green,CHI,8,10.5,9.5,5.04,0.4375,0.6303,0.0055,1.16,0.28,8.0,26.25,12.0,9.4,1.5,10.5,4,12.5,8.5,0.7502,NEUTRAL,41
AJ Green,CLE,7,10.86,12.0,8.41,0.4808,0.7011,0.0763,0.59,3.46,7.43,29.43,11.0,11.0,0.14,13.25,4,7.67,13.25,0.6453,MINUTES,25
AJ Green,DAL,4,13.5,15.0,5.45,0.5172,0.8192,0.1944,0.41,0.2,7.25,26.18,16.0,13.5,2.5,15.0,2,17.5,9.5,0.525,EFFICIENCY,11
AJ Green,DEN,3,11.67,14.0,4.93,0.5714,0.8333,0.2085,0.16,4.36,7.0,30.33,11.67,11.67,0.0,14.0,1,6.0,14.5,0.4611,MINUTES,90
AJ Green,DET,7,10.86,11.0,5.43,0.4808,0.7127,0.0879,0.59,0.33,7.43,26.3,15.67,12.4,4.81,15.67,3,10.75,11.0,0.6867,EFFICIENCY,3
AJ Green,GSW,4,6.75,7.5,4.65,0.36,0.5045,-0.1203,-0.59,-1.22,6.25,24.75,7.33,6.75,0.58,10.5,2,7.5,6.0,0.4769,EFFICIENCY,94
AJ Green,HOU,4,8.75,8.5,5.68,0.3529,0.5147,-0.1101,1.66,7.65,8.5,33.62,10.0,8.75,1.25,9.0,2,4.0,13.5,0.4826,VOLUME,10
AJ Green,IND,8,8.62,7.5,3.93,0.3833,0.5586,-0.0662,0.66,-2.22,7.5,23.75,10.0,9.8,1.38,10.75,4,9.25,8.0,0.7549,MINUTES,27
AJ Green,LAC,3,13.0,15.0,3.46,0.5238,0.7812,0.1565,0.16,0.4,7.0,26.37,13.0,13.0,0.0,15.0,2,12.0,15.0,0.4958,EFFICIENCY,13
